id,name,optimistic_duration,most_likely_duration,pessimistic_duration,optimistic_cost,most_likely_cost,pessimistic_cost,dependencies
A1,Definición de requisitos,4,5,7,1300,1500,1900,
A2,Diseño de la interfaz(UI/UX),5,7,10,1700,2000,2600,A1
A3,Diseño de la arquitectura del sistema,5,6,9,1500,1800,2400,A1
A4,Configuración del entorno de desarrollo,2,3,4,650,800,1000,A3
A5,Desarrollo del módulo de autenticación,6,8,12,2100,2500,3300,"A2,A4"
A6,Desarrollo del módulo de contenidos,8,10,14,2700,3200,4100,"A2,A4"
A7,Integración de los módulos,4,5,8,1200,1500,2100,"A5,A6"
A8,Pruebas de calidad (QA),5,6,9,1500,1800,2400,A7
A9,Documentación del sistema,3,4,6,800,1000,1400,A7
A10,Despliegue en producción,2,3,5,950,1200,1600,"A8,A9"
